solr-1.node,1.1.1.1:8983_solr
coll3E_shard1_0_1_1_0_replica1,6.2M,5.7GB
coll3E_shard1_0_1_1_1_replica1,5.8M,5.2GB
coll3F_shard1_0_0_0_replica1,4.8M,4.1GB
coll3F_shard1_0_0_1_replica1,4.8M,5.0GB
coll3F_shard1_0_1_0_replica1,4.6M,4.7GB
coll3F_shard1_0_1_1_replica1,4.7M,5.2GB
solr-10.node,10.10.10.10:8983_solr
coll13_shard1_1_1_1_replica1,14.0M,5.6GB
coll15_shard1_1_0_0_0_0_replica2,5.5M,7.1GB
coll15_shard1_1_0_0_0_1_replica2,5.5M,7.2GB
coll15_shard1_1_0_0_1_0_replica2,6.1M,7.1GB
coll15_shard1_1_0_0_1_1_replica2,5.5M,7.2GB
coll40_shard1_replica2,267K,143MB
coll41_shard1_replica1,1.9K,979KB
coll42_shard1_replica1,37.6K,24.3MB
coll43_shard1_replica1,18.4K,6.8MB
coll44_shard1_replica1,116K,63.7MB
coll45_shard1_replica1,99.6K,51.9MB
coll46_shard1_replica1,274,263KB
coll47_shard1_replica1,140,108KB
coll48_shard1_replica1,6.0K,3.9MB
coll49_shard1_replica1,289,347KB
coll4A_shard1_replica1,12.2K,6.1MB
coll4B_shard1_replica1,9.3K,11.5MB
coll4C_shard1_replica1,10.2K,15.6MB
coll4D_shard1_replica1,12,34.8KB
coll23_shard1_0_0_1_0_replica2,14.9M,13.4GB
coll23_shard1_0_0_1_1_replica2,14.7M,13.3GB
coll4E_shard1_replica1,1.8K,1.3MB
coll4F_shard1_replica1,1.3K,780KB
coll2C_shard1_1_0_0_0_replica2,8.3M,6.2GB
coll2C_shard1_1_0_0_1_replica2,8.3M,6.3GB
coll2F_shard1_0_1_1_0_replica2,6.1M,4.1GB
coll2F_shard1_0_1_1_1_replica2,6.1M,4.1GB
coll31_shard1_1_0_1_0_0_replica2,9.0M,7.8GB
coll31_shard1_1_1_1_0_1_replica2,8.3M,6.1GB
coll31_shard1_1_1_1_1_0_replica2,8.6M,7.8GB
coll31_shard1_1_1_1_1_1_replica2,8.4M,8.3GB
coll32_shard1_0_0_1_0_0_replica1,11.0M,6.3GB
coll32_shard1_0_0_1_0_1_replica1,11.0M,6.2GB
coll32_shard1_0_0_1_1_0_replica1,11.0M,6.3GB
coll32_shard1_0_0_1_1_1_replica1,11.7M,6.6GB
coll35_shard1_0_0_1_1_replica2,4.5M,2.4GB
coll35_shard1_0_1_1_0_replica2,4.3M,2.2GB
coll3A_shard1_0_0_1_0_replica2,7.1M,3.6GB
coll3A_shard1_0_0_1_1_replica2,8.3M,6.3GB
